Date,Temperature,Pressure,Sky_Cover,Wind_Speed,Rainfall
2022-01-01,54.447500000000005,1016.1791666666667,3.375,2.858333333333333,0.0
2022-01-02,54.410000000000004,1020.3291666666668,0.0,3.2375000000000003,0.0
2022-01-03,52.44500000000001,1019.1416666666668,2.8333333333333335,2.725,0.0
2022-01-04,52.265,1019.3583333333332,3.6666666666666665,2.1458333333333335,0.0
2022-01-05,55.0775,1014.3874999999999,2.625,1.6500000000000001,0.0
2022-01-06,54.53,1010.725,5.375,1.6708333333333334,0.0
2022-01-07,54.13250000000001,1010.1166666666667,10.0,1.8958333333333333,0.0
2022-01-08,56.21,1014.25,4.791666666666667,2.3666666666666667,0.0
2022-01-09,58.3775,1020.2833333333333,2.3333333333333335,2.1875,0.0
2022-01-10,63.447500000000005,1021.8249999999999,6.875,2.5458333333333334,0.0
2022-01-11,65.10499999999999,1019.7375000000001,2.5416666666666665,1.925,0.0
2022-01-12,63.2525,1019.0541666666667,6.083333333333333,2.216666666666667,0.0
2022-01-13,61.205,1018.0291666666667,8.833333333333334,2.3375,0.0
2022-01-14,61.2725,1015.5833333333334,6.833333333333333,1.4708333333333332,0.0
2022-01-15,62.495000000000005,1016.7916666666666,8.541666666666666,2.1750000000000003,0.125
2022-01-16,65.02250000000001,1014.0791666666668,6.625,2.225,0.0
2022-01-17,61.182500000000005,1014.0708333333333,8.708333333333334,2.5500000000000003,0.8333333333333334
2022-01-18,59.1725,1014.8541666666666,6.125,2.7708333333333335,0.0
2022-01-19,57.8,1017.4875000000001,4.083333333333333,2.4791666666666665,0.0
2022-01-20,60.0275,1018.7333333333332,1.0416666666666667,2.1625,0.0
2022-01-21,59.96,1012.6833333333334,1.75,3.0749999999999997,0.0
2022-01-22,65.66,1013.4208333333332,1.4583333333333333,3.1750000000000003,0.0
2022-01-23,63.11,1016.7083333333334,0.0,1.7791666666666666,0.0
2022-01-24,57.89,1013.6708333333332,1.4583333333333333,2.2583333333333333,0.0
2022-01-25,55.692499999999995,1012.0708333333333,4.041666666666667,2.1999999999999997,0.0
2022-01-26,56.8775,1015.5541666666667,3.5833333333333335,2.316666666666667,0.0
2022-01-27,57.1175,1017.9333333333334,2.5416666666666665,2.6999999999999997,0.0
2022-01-28,61.925,1019.2875,4.791666666666667,2.3833333333333333,0.0
2022-01-29,60.597500000000004,1015.9208333333332,6.208333333333333,2.2083333333333335,0.0
2022-01-30,56.2775,1016.5,0.7083333333333334,2.625,0.0
2022-01-31,54.432500000000005,1014.5375,7.125,1.8,0.0
2022-02-01,56.7125,1008.4291666666667,4.166666666666667,2.3833333333333333,0.0
2022-02-02,56.705,1012.0625,0.4583333333333333,2.591666666666667,0.0
2022-02-03,55.085,1019.1208333333334,1.9583333333333333,2.154166666666667,0.0
2022-02-04,57.6125,1022.8833333333333,2.0833333333333335,1.8208333333333335,0.0
2022-02-05,57.92,1018.2624999999999,0.5416666666666666,2.2375000000000003,0.0
2022-02-06,59.0825,1017.5583333333334,0.08333333333333333,1.6416666666666666,0.0
2022-02-07,63.665,1020.1166666666667,0.0,2.033333333333333,0.0
2022-02-08,63.88250000000001,1017.1,2.875,2.3583333333333334,0.0
2022-02-09,68.63,1013.7916666666666,1.6666666666666667,1.7708333333333333,0.0
2022-02-10,69.725,1013.2875,0.0,3.0208333333333335,0.0
2022-02-11,66.1925,1012.0791666666668,0.20833333333333334,2.2583333333333333,0.0
2022-02-12,68.7575,1015.2333333333332,1.5833333333333333,2.5458333333333334,0.0
2022-02-13,69.1625,1017.1833333333334,1.125,3.4583333333333335,0.0
2022-02-14,60.6125,1013.0958333333333,3.875,2.8958333333333335,0.0
2022-02-15,56.885000000000005,1007.0875,6.083333333333333,5.308333333333334,0.125
2022-02-16,56.42,1012.0416666666666,2.4583333333333335,3.5083333333333333,0.0
2022-02-17,59.7275,1019.8416666666667,0.20833333333333334,2.9125,0.0
2022-02-18,59.6225,1018.65,2.5833333333333335,2.841666666666667,0.0
2022-02-19,59.1425,1014.2291666666666,1.6666666666666667,2.875,0.0
2022-02-20,56.135000000000005,1011.4125,6.416666666666667,2.7416666666666667,0.0
2022-02-21,56.5625,1011.0291666666667,6.666666666666667,3.704166666666667,0.0
2022-02-22,54.7775,1010.8416666666667,5.791666666666667,7.658333333333334,0.38461538461538464
2022-02-23,51.0875,1012.6833333333334,4.166666666666667,4.8374999999999995,0.0
2022-02-24,51.875,1020.0,0.20833333333333334,3.65,0.0
2022-02-25,53.322500000000005,1018.6333333333333,1.1666666666666667,3.095833333333333,0.0
2022-02-26,56.69,1021.0875,3.5416666666666665,2.3875,0.0
2022-02-27,60.905,1019.8916666666668,3.7083333333333335,2.625,0.0
2022-02-28,65.1425,1015.25,1.4583333333333333,1.7625,0.0
2022-03-01,65.02250000000001,1013.9250000000001,1.5416666666666667,2.795833333333333,0.0
2022-03-02,63.44,1012.0749999999999,4.041666666666667,2.5833333333333335,0.0
2022-03-03,58.932500000000005,1009.3625000000001,6.666666666666667,2.8125,0.0
2022-03-04,58.025000000000006,1011.0208333333334,4.0,5.845833333333334,0.0
2022-03-05,54.7475,1014.0375,3.25,8.0375,0.0
2022-03-06,54.05,1018.7375000000001,1.5833333333333333,2.625,0.0
2022-03-07,56.315,1018.8125,2.0833333333333335,2.85,0.0
2022-03-08,58.745000000000005,1015.3958333333334,1.5416666666666667,2.9291666666666667,0.0
2022-03-09,56.75,1011.0041666666666,3.0833333333333335,2.9125,0.0
2022-03-10,58.535,1011.9541666666668,2.4166666666666665,3.0625,0.0
