"","Year","Month","Day","Hour","Temperature","Pressure","Sky_Cover","Wind_Speed","Rainfall"
"1",2024,1,1,1,"11.7",1014.1,8,1.5,0
"2",2024,1,1,2,"11.6",1013.6,8,2.5,0
"3",2024,1,1,3,"10.7",1013.7,8,1.6,0
"4",2024,1,1,4,"11.1",1013.4,8,2.6,0
"5",2024,1,1,5,"11.7",1013.2,8,1.6,0
"6",2024,1,1,6,"11.6",1013.4,8,2.1,0
"7",2024,1,1,7,"11.1",1014,8,2.1,0
"8",2024,1,1,8,"11.4",1014.6,6,0.2,0
"9",2024,1,1,9,"14.1",1015.5,5,1.7,0
"10",2024,1,1,10,"15.6",1016.1,5,3.1,0
"11",2024,1,1,11,"17.3",1016,5,3.1,0
"12",2024,1,1,12,"18.4",1015.1,5,2.9,0
"13",2024,1,1,13,"18.9",1014.4,5,1.5,0
"14",2024,1,1,14,"18.8",1014.4,3,3.5,0
"15",2024,1,1,15,"18.2",1014.9,3,3.1,0
"16",2024,1,1,16,"17.8",1014.9,3,3.1,0
"17",2024,1,1,17,"15.5",1015.3,2,3.8,0
"18",2024,1,1,18,"15.0",1015.9,0,5.6,0
"19",2024,1,1,19,"15.0",1016.5,0,5.1,0
"20",2024,1,1,20,"14.4",1016.2,0,1.3,0
"21",2024,1,1,21,"14.3",1016.6,0,0.2,0
"22",2024,1,1,22,"13.9",1016.9,0,1.5,0
"23",2024,1,1,23,"11.8",1017.3,0,2,0
"24",2024,1,1,24,"12.1",1017.4,0,1.6,0
"25",2024,1,2,1,"11.7",1017.7,0,2.1,0
"26",2024,1,2,2,"9.5",1017.8,0,2,0
"27",2024,1,2,3,"10.4",1017.9,0,1.5,0
"28",2024,1,2,4,"8.9",1018,0,1.5,0
"29",2024,1,2,5,"9.0",1018.3,0,2,0
"30",2024,1,2,6,"9.9",1019.1,3,1.7,0
"31",2024,1,2,7,"8.9",1019.6,3,3.1,0
"32",2024,1,2,8,"10.9",1020,5,2.2,0
"33",2024,1,2,9,"13.1",1020.7,5,2.8,0
"34",2024,1,2,10,"15.0",1021.4,5,4.1,0
