"","Year","Month","Day","Hour","Temperature","Pressure","Sky_Cover","Wind_Speed","Rainfall"
"107",2022,1,5,11,"16.8",1015.8,3,1.7,0
"108",2022,1,5,12,"17.7",1014.5,3,3.2,0
"109",2022,1,5,13,"16.6",1013.7,5,3.7,0
"110",2022,1,5,14,"16.2",1013.1,4,4.1,0
"111",2022,1,5,15,"16.5",1012.5,3,4,0
"112",2022,1,5,16,"15.0",1012.4,3,3.1,0
"113",2022,1,5,17,"13.9",1012.3,3,1.5,0
"114",2022,1,5,18,"13.9",1012.6,2,1.3,0
"115",2022,1,5,19,"13.8",1012.7,0,0.3,0
"116",2022,1,5,20,"13.3",1012.6,0,2.3,0
"117",2022,1,5,21,"13.3",1012.9,0,0,0
"118",2022,1,5,22,"13.3",1012.7,0,0,0
"119",2022,1,5,23,"13.7",1012.5,4,0.2,0
"120",2022,1,5,24,"12.0",1012.1,3,2.1,0
"121",2022,1,6,1,"10.5",1012,5,2,0
"122",2022,1,6,2,"10.0",1012,5,1.5,0
"123",2022,1,6,3,"9.9",1011.7,5,1.6,0
"124",2022,1,6,4,"9.4",1011.5,5,2.1,0
"125",2022,1,6,5,"10.0",1011.7,5,0.2,0
"126",2022,1,6,6,"9.9",1011.8,5,1.3,0
"127",2022,1,6,7,"9.6",1012,5,0.2,0
"128",2022,1,6,8,"11.2",1012.3,5,2,0
"129",2022,1,6,9,"12.5",1012.5,5,1.3,0
"130",2022,1,6,10,"15.0",1013,5,0,0
"131",2022,1,6,11,"17.1",1012.5,3,0.4,0
"132",2022,1,6,12,"16.4",1011.3,5,3.5,0
"133",2022,1,6,13,"18.3",1010.2,5,2.8,0
"134",2022,1,6,14,"18.1",1009.3,4,4.1,0
"135",2022,1,6,15,"16.4",1009,3,4,0
"136",2022,1,6,16,"14.4",1009,3,3.6,0
"137",2022,1,6,17,"12.3",1008.8,3,2.9,0
"138",2022,1,6,18,"12.7",1008.8,3,0.3,0
"139",2022,1,6,19,"11.9",1009.1,3,2.7,0
"140",2022,1,6,20,"10.8",1009.6,10,2.4,0
"141",2022,1,6,21,"11.6",1009.6,9,1.2,0
"142",2022,1,6,22,"11.1",1009.8,8,0,0
"143",2022,1,6,23,"10.6",1009.9,10,0,0
"144",2022,1,6,24,"10.7",1010,10,0,0
"145",2022,1,7,1,"11.7",1009.9,10,0.2,0
"146",2022,1,7,2,"11.6",1009.7,10,1.6,0
"147",2022,1,7,3,"11.1",1009.2,10,1.9,0
"148",2022,1,7,4,"11.1",1009,10,0,0
"149",2022,1,7,5,"11.1",1009.6,10,0,0
"150",2022,1,7,6,"11.2",1010.2,10,0.3,0
"151",2022,1,7,7,"11.2",1010.1,10,2.3,0
"152",2022,1,7,8,"11.2",1010.7,10,1.6,0
"153",2022,1,7,9,"11.8",1011.3,10,2.3,0
"154",2022,1,7,10,"12.2",1011.8,10,0,0
"155",2022,1,7,11,"12.2",1011.4,10,2.9,0
"156",2022,1,7,12,"12.9",1010.5,10,2.9,0
"157",2022,1,7,13,"13.3",1009.8,10,2.7,0
"158",2022,1,7,14,"13.2",1009.4,10,2.8,0
"159",2022,1,7,15,"13.3",1009,10,1.7,0
"160",2022,1,7,16,"13.3",1009.2,10,3.6,0
"161",2022,1,7,17,"12.9",1009.3,10,2.5,0
"162",2022,1,7,18,"13.3",1009.7,10,2.2,0
"163",2022,1,7,19,"13.3",1010.1,10,3,0
"164",2022,1,7,20,"13.2",1010.1,10,2.3,0
"165",2022,1,7,21,"12.8",1010.5,10,2,0
"166",2022,1,7,22,"12.8",1010.7,10,1.5,0
"167",2022,1,7,23,"12.2",1010.7,10,3,0
"168",2022,1,7,24,"12.2",1010.9,10,2.2,0
"169",2022,1,8,1,"12.3",1011.1,10,3,0
"170",2022,1,8,2,"12.8",1011.1,10,2.5,0
"171",2022,1,8,3,"12.8",1011.4,10,1.6,0
"172",2022,1,8,4,"12.8",1011.7,10,2.1,0
"173",2022,1,8,5,"12.1",1012.1,6,1.9,0
"174",2022,1,8,6,"11.6",1013,3,0,0
"175",2022,1,8,7,"11.2",1013.8,5,0.2,0
"176",2022,1,8,8,"12.4",1014.2,5,1.3,0
"177",2022,1,8,9,"14.0",1014.8,5,0.3,0
"178",2022,1,8,10,"15.0",1015.2,5,2.6,0
"179",2022,1,8,11,"15.6",1015,5,2.3,0
"180",2022,1,8,12,"15.6",1014.4,5,3.7,0
"181",2022,1,8,13,"15.6",1013.8,5,4.2,0
"182",2022,1,8,14,"15.5",1013.3,5,4.6,0
"183",2022,1,8,15,"15.0",1013.1,5,4.6,0
"184",2022,1,8,16,"15.0",1013,5,4.6,0
"185",2022,1,8,17,"13.9",1013.7,4,3.6,0
"186",2022,1,8,18,"13.8",1014.8,3,3.7,0
"187",2022,1,8,19,"13.3",1015.6,2,4.3,0
"188",2022,1,8,20,"13.3",1016.2,0,1.9,0
"189",2022,1,8,21,"13.3",1017,2,0.2,0
"190",2022,1,8,22,"13.3",1017.6,0,2.1,0
"191",2022,1,8,23,"11.6",1018,3,0.2,0
"192",2022,1,8,24,"11.0",1018.1,2,1.3,0
"193",2022,1,9,1,"10.5",1017.7,0,0.2,0
"194",2022,1,9,2,"10.0",1017.7,0,1.3,0
"195",2022,1,9,3,"10.0",1017.7,0,0.3,0
"196",2022,1,9,4,"10.0",1017.5,0,2.6,0
"197",2022,1,9,5,"9.2",1018.1,0,0.2,0
"198",2022,1,9,6,"8.0",1018.5,0,1.6,0
"199",2022,1,9,7,"9.5",1019.1,3,2.5,0
"200",2022,1,9,8,"11.0",1019.8,4,1.6,0
"201",2022,1,9,9,"14.7",1020.2,3,2,0
"202",2022,1,9,10,"17.2",1020.6,3,1.5,0
"203",2022,1,9,11,"20.3",1020.8,3,2.2,0
"204",2022,1,9,12,"22.3",1020.6,3,3,0
"205",2022,1,9,13,"22.9",1019.8,3,2.3,0
"206",2022,1,9,14,"23.3",1019.7,3,0.6,0
"207",2022,1,9,15,"18.7",1020.2,3,5,0
"208",2022,1,9,16,"17.2",1020.5,3,4.6,0
"209",2022,1,9,17,"14.9",1020.8,3,4.2,0
"210",2022,1,9,18,"14.0",1021.3,3,4.4,0
"211",2022,1,9,19,"14.4",1021.9,3,2.9,0
"212",2022,1,9,20,"14.3",1022.4,3,1.5,0
"213",2022,1,9,21,"13.9",1022.8,3,1.3,0
"214",2022,1,9,22,"13.9",1023.2,3,0,0
"215",2022,1,9,23,"16.0",1023.1,3,2.8,0
"216",2022,1,9,24,"15.5",1022.8,4,3.9,0
"217",2022,1,10,1,"14.9",1022.8,5,2.5,0
